[2026-03-17 20:24:47] 🚀🚀 2D 终极保守宇宙 (Grid=200 超高清抗锯齿·EPYC 防爆版) 启动 🚀🚀
[2026-03-17 20:24:47] 硬件自检：AMD EPYC 9754 并发严密封锁在 48 核，Numba 零拷贝结界已开启！
[2026-03-17 22:12:44] [Worker SUCCESS] eps=0.042274504290706116 | delta_a=0.0010405327338945496 | MAE(100)=303.2061064179929 | 容量=192阶 | 耗时:2693.46s
[2026-03-17 22:13:02] [Worker SUCCESS] eps=0.043085495887784264 | delta_a=0.01468963621735283 | MAE(100)=187.4741293235597 | 容量=189阶 | 耗时:2711.69s
[2026-03-17 22:13:15] [Worker SUCCESS] eps=0.04287595235208784 | delta_a=0.008492483982644683 | MAE(100)=11.563726970643545 | 容量=189阶 | 耗时:2723.82s
[2026-03-17 22:13:42] [Worker SUCCESS] eps=0.04357044708209145 | delta_a=0.008488836303207046 | MAE(100)=169.59119670188517 | 容量=189阶 | 耗时:2751.02s
[2026-03-17 22:13:46] [Worker SUCCESS] eps=0.04418024356911606 | delta_a=0.0036810010709867006 | MAE(100)=113.54709409359454 | 容量=189阶 | 耗时:2755.07s
[2026-03-17 22:14:05] [Worker SUCCESS] eps=0.04512996850725075 | delta_a=0.017439268210048556 | MAE(100)=39.1810667959642 | 容量=190阶 | 耗时:2774.68s
[2026-03-17 22:14:14] [Worker SUCCESS] eps=0.04564440312002826 | delta_a=0.012368092868092071 | MAE(100)=263.9621342289556 | 容量=192阶 | 耗时:2783.50s
[2026-03-17 22:14:42] [Worker SUCCESS] eps=0.04355625116602332 | delta_a=0.007734653181730772 | MAE(100)=50.46601615445586 | 容量=191阶 | 耗时:2811.12s
[2026-03-17 22:14:48] [Worker SUCCESS] eps=0.04678678768044281 | delta_a=0.01998947039768701 | MAE(100)=6.2563226290999605 | 容量=189阶 | 耗时:2817.21s
[2026-03-17 22:14:59] [Worker SUCCESS] eps=0.048766524241159515 | delta_a=0.01256916126464041 | MAE(100)=43.19092646629528 | 容量=188阶 | 耗时:2827.98s
[2026-03-17 22:14:59] [Worker SUCCESS] eps=0.04619762363812064 | delta_a=0.010498311329381808 | MAE(100)=267.5662507223879 | 容量=191阶 | 耗时:2828.63s
[2026-03-17 22:15:03] [Worker SUCCESS] eps=0.04390444819521879 | delta_a=0.0071853083527697766 | MAE(100)=472.873403375933 | 容量=188阶 | 耗时:2832.50s
[2026-03-17 22:15:14] [Worker SUCCESS] eps=0.04407977626967383 | delta_a=0.006394861014532646 | MAE(100)=402.34850036328777 | 容量=189阶 | 耗时:2843.47s
[2026-03-17 22:15:16] [Worker SUCCESS] eps=0.046398452972291775 | delta_a=0.011500538435272703 | MAE(100)=452.11792227663994 | 容量=188阶 | 耗时:2845.49s
